ï»¿POL_NO,CLAIMANT_COUNTRY_Anonymized,CLM_NO,Make,VEHICLE_MODEL,Policy From Year,Accident  Year,Body Type,SI Band,Claim Amount
Policy Number 3708,Country 091,Claim Number 5778,TOYOTA,COASTER,2018,2019,4. Buses, 100K to 150K ," 2,150.00 "
Policy Number 4133,Country 053,Claim Number 8109,TOYOTA,COROLLA,2018,2019,1. Saloon, 250K+ ,"-14,400.00 "
Policy Number 4140,Country 062,Claim Number 8161,TOYOTA,PRADO,2018,2019,2. Four Wheel Drive, 250K+ ,-600.00 
Policy Number 13782,Country 053,Claim Number 24018,NISSAN,SENTRA,2018,2018,1. Saloon, 250K+ ,"-1,800.00 "
Policy Number 13782,Country 053,Claim Number 24046,NISSAN,NAVARA,2018,2019,3A. Light Pick-Ups and Vans upto 3 Tons, 250K+ ,"-3,200.00 "
Policy Number 13782,Country 053,Claim Number 24058,NISSAN,SUNNY,2018,2019,1. Saloon, 250K+ ,"-1,200.00 "
Policy Number 5626,Country 053,Claim Number 10713,LAND ROVER,RANGE ROVER,2018,2019,2. Four Wheel Drive, 250K+ ,-600.00 
Policy Number 5707,Country 053,Claim Number 10774,MERCEDES,ACTROS,2018,2019,3B. Heavy Trucks over 3 Tons, 250K+ ," 1,900.00 "
Policy Number 7758,Country 095,Claim Number 14950,RENAULT,DUSTER,2018,2018,2. Four Wheel Drive, 50K to 75K ,"-1,100.00 "
Policy Number 7844,Country 053,Claim Number 14938,MITSUBISHI,PAJERO,2018,2018,2. Four Wheel Drive, 75K to 100K ,-980.00 
Policy Number 7876,Country 053,Claim Number 14975,MITSUBISHI,LANCER EX,2018,2018,1. Saloon, 0 to 25K ,"-1,700.00 "
Policy Number 14169,Country 136,Claim Number 25162,LEXUS,LX570,2018,2019,2. Four Wheel Drive, 150K to 200K ,"-1,500.00 "
Policy Number 8432,Country 138,Claim Number 17147,MITSUBISHI,PAJERO,2018,2018,2. Four Wheel Drive, 75K to 100K ,"-4,410.00 "
Policy Number 8438,Country 053,Claim Number 17789,NISSAN,SUNNY,2018,2019,1. Saloon, 0 to 25K ,"-2,400.00 "
Policy Number 8493,Country 053,Claim Number 17026,TOYOTA,COROLLA,2018,2018,1. Saloon, 50K to 75K ,-900.00 
Policy Number 8524,Country 053,Claim Number 17337,RENAULT,DUSTER,2018,2019,2. Four Wheel Drive, 25K to 50K ," 2,001.00 "
Policy Number 8562,Country 053,Claim Number 18731,NISSAN,ALTIMA,2018,2018,1. Saloon, 50K to 75K ,"-2,800.00 "
Policy Number 8600,Country 053,Claim Number 17780,TOYOTA,PREVIA,2018,2019,2. Four Wheel Drive, 50K to 75K ,"-1,300.00 "
Policy Number 8916,Country 053,Claim Number 17742,JEEP,RENEGADE,2018,2019,2. Four Wheel Drive, 50K to 75K ," 3,600.00 "
Policy Number 9025,Country 042,Claim Number 16521,HONDA,CRV,2018,2018,2. Four Wheel Drive, 0 to 25K ,"-2,115.00 "
Policy Number 9229,Country 053,Claim Number 19087,TOYOTA,RUSH,2018,2019,2. Four Wheel Drive, 75K to 100K ,"-9,900.00 "
Policy Number 9664,Country 053,Claim Number 17056,MITSUBISHI,LANCER EX,2018,2018,1. Saloon, 25K to 50K ,-300.00 
Policy Number 9668,Country 053,Claim Number 18047,FORD,FUSION,2018,2019,1. Saloon, 25K to 50K ,"-3,900.00 "
Policy Number 9856,Country 053,Claim Number 18002,NISSAN,SUNNY,2018,2019,1. Saloon, 25K to 50K ,-700.00 
Policy Number 9891,Country 053,Claim Number 18033,MAZDA,CX5,2018,2019,2. Four Wheel Drive, 25K to 50K ,-600.00 
Policy Number 9903,Country 053,Claim Number 18436,KIA,CERATO,2018,2019,1. Saloon, 25K to 50K ," 6,200.00 "
Policy Number 9945,Country 053,Claim Number 16964,NISSAN,ALTIMA,2018,2018,1. Saloon, 25K to 50K ,"-2,100.00 "
Policy Number 9956,Country 053,Claim Number 16246,MITSUBISHI,ASX,2018,2018,2. Four Wheel Drive, 25K to 50K ,"-1,300.00 "
Policy Number 10146,Country 053,Claim Number 18585,HYUNDAI,SANTA FE,2018,2019,2. Four Wheel Drive, 25K to 50K ,"-1,300.00 "
Policy Number 10170,Country 038,Claim Number 16527,MITSUBISHI,LANCER EX,2018,2018,1. Saloon, 0 to 25K ,-950.00 
Policy Number 10371,Country 053,Claim Number 18755,MITSUBISHI,PAJERO SPORT,2018,2019,2. Four Wheel Drive, 50K to 75K ," 9,600.00 "
Policy Number 10456,Country 022,Claim Number 18225,TOYOTA,LAND CRUISER PRADO,2018,2019,2. Four Wheel Drive, 25K to 50K ," 13,650.00 "
Policy Number 10674,Country 091,Claim Number 16651,BMW,X5,2018,2018,2. Four Wheel Drive, 150K to 200K ,"-3,300.00 "
Policy Number 10710,Country 053,Claim Number 17843,NISSAN,ALTIMA,2018,2019,1. Saloon, 0 to 25K ,-600.00 
Policy Number 10730,Country 053,Claim Number 19750,MITSUBISHI,PAJERO,2018,2019,2. Four Wheel Drive, 25K to 50K ," 1,000.00 "
Policy Number 10823,Country 012,Claim Number 18830,MITSUBISHI,PAJERO,2018,2019,2. Four Wheel Drive, 50K to 75K ,"-5,015.00 "
Policy Number 10978,Country 053,Claim Number 18552,MITSUBISHI,PAJERO,2018,2019,2. Four Wheel Drive, 50K to 75K ,"-3,900.00 "
Policy Number 11000,Country 053,Claim Number 18306,MITSUBISHI,PAJERO,2018,2019,2. Four Wheel Drive, 0 to 25K ,"-3,300.00 "
Policy Number 11075,Country 053,Claim Number 18835,HONDA,CRV,2018,2019,2. Four Wheel Drive, 50K to 75K ,"-1,100.00 "
Policy Number 11267,Country 138,Claim Number 19753,NISSAN,PATROL,2018,2019,2. Four Wheel Drive, 150K to 200K ," 3,600.00 "
Policy Number 11279,Country 136,Claim Number 18949,PORSCHE,CAYENNE,2018,2019,2. Four Wheel Drive, 50K to 75K ," 20,000.00 "
Policy Number 11486,Country 053,Claim Number 17842,RENAULT,KOLEOS,2018,2019,2. Four Wheel Drive, 50K to 75K ,"-1,400.00 "
Policy Number 11502,Country 053,Claim Number 18181,NISSAN,KICKS,2019,2019,2. Four Wheel Drive, 50K to 75K ,"-5,100.00 "
Policy Number 11524,Country 053,Claim Number 18191,KIA,SPORTAGE,2018,2019,2. Four Wheel Drive, 75K to 100K ,"-3,350.00 "
Policy Number 11554,Country 053,Claim Number 17942,MITSUBISHI,PAJERO,2018,2019,2. Four Wheel Drive, 25K to 50K ,"-1,300.00 "
Policy Number 14966,Country 069,Claim Number 26233,KIA,CERATO,2018,2018,1. Saloon, 25K to 50K ,-700.00 
Policy Number 3467,Country 038,Claim Number 5528,MITSUBISHI,ROSA,2018,2019,4. Buses, 50K to 75K ,-900.00 
Policy Number 3604,Country 091,Claim Number 5588,TOYOTA,HILUX,2018,2018,3A. Light Pick-Ups and Vans upto 3 Tons, 50K to 75K ,-700.00 
Policy Number 3607,Country 091,Claim Number 5590,ASHOK LEYLAND,FALCON,2018,2019,4. Buses, 50K to 75K ,"-6,000.00 "
Policy Number 3637,Country 053,Claim Number 5524,ASHOK LEYLAND,FALCON,2018,2019,4. Buses, 100K to 150K ,"-1,400.00 "
Policy Number 3709,Country 091,Claim Number 5467,ASHOK LEYLAND,FALCON,2018,2018,4. Buses, 25K to 50K , 996.00 
Policy Number 3721,Country 091,Claim Number 5770,PEUGEOT,Partner,2018,2019,3A. Light Pick-Ups and Vans upto 3 Tons, 25K to 50K , 600.00 
Policy Number 13547,Country 091,Claim Number 23487,TOYOTA,FORTUNER,2018,2019,2. Four Wheel Drive, 50K to 75K ,"-1,800.00 "
Policy Number 4133,Country 053,Claim Number 8089,TOYOTA,COROLLA,2018,2019,1. Saloon, 250K+ ,-600.00 
Policy Number 4140,Country 091,Claim Number 8152,MITSUBISHI,ROSA,2018,2019,4. Buses, 250K+ ,"-3,100.00 "
Policy Number 4144,Country 053,Claim Number 8153,HYUNDAI,ACCENT,2018,2019,1. Saloon, 250K+ ,"-2,800.00 "
Policy Number 5514,Country 136,Claim Number 10743,LAND ROVER,RANGE ROVER,2018,2018,2. Four Wheel Drive, 200K to 250K ,-540.00 
Policy Number 5612,Country 055,Claim Number 10665,LAND ROVER,RANGE ROVER,2018,2018,2. Four Wheel Drive, 250K+ ,"-6,650.00 "
Policy Number 5630,Country 053,Claim Number 10635,TATA DAEWOO,,2018,2018,3B. Heavy Trucks over 3 Tons, 200K to 250K ,"-4,700.00 "
Policy Number 14083,Country 136,Claim Number 25038,TOYOTA,LAND CRUISER,2018,2019,2. Four Wheel Drive, 200K to 250K ,"-10,200.00 "
Policy Number 8481,Country 053,Claim Number 17684,NISSAN,PATHFINDER,2018,2019,2. Four Wheel Drive, 25K to 50K ,"-1,700.00 "
Policy Number 8672,Country 138,Claim Number 17766,LINCOLN,NAVIGATOR,2018,2019,2. Four Wheel Drive, 100K to 150K ,-950.00 
Policy Number 8817,Country 091,Claim Number 18479,NISSAN,ALTIMA,2018,2019,1. Saloon, 25K to 50K ,"-2,000.00 "
Policy Number 8860,Country 135,Claim Number 17745,NISSAN,QASHQAI,2018,2019,2. Four Wheel Drive, 0 to 25K ,-950.00 
Policy Number 9520,Country 095,Claim Number 18332,MITSUBISHI,MONTERO,2018,2019,2. Four Wheel Drive, 75K to 100K ,"-8,330.00 "
Policy Number 9632,Country 053,Claim Number 18153,TOYOTA,RAV 4,2018,2019,2. Four Wheel Drive, 50K to 75K ,"-8,330.00 "
Policy Number 9717,Country 136,Claim Number 18050,NISSAN,PATROL,2018,2019,2. Four Wheel Drive, 150K to 200K ,"-18,200.00 "
Policy Number 9773,Country 053,Claim Number 19166,FORD,ESCAPE,2018,2019,2. Four Wheel Drive, 25K to 50K ,-800.00 
Policy Number 9807,Country 053,Claim Number 17558,TOYOTA,COROLLA,2018,2019,1. Saloon, 0 to 25K ,"-1,100.00 "
Policy Number 10049,Country 053,Claim Number 16933,FORD,EXPLORER,2018,2018,2. Four Wheel Drive, 50K to 75K ,"-3,100.00 "
Policy Number 10060,Country 091,Claim Number 18557,NISSAN,ALTIMA,2018,2019,1. Saloon, 25K to 50K ,"-3,600.00 "
Policy Number 10110,Country 053,Claim Number 19118,MITSUBISHI,LANCER,2018,2019,1. Saloon, 25K to 50K ,"-1,500.00 "
Policy Number 10133,Country 091,Claim Number 18300,MITSUBISHI,PAJERO,2018,2019,2. Four Wheel Drive, 50K to 75K ,"-3,900.00 "
Policy Number 10205,Country 053,Claim Number 18102,INFINITI,G37S,2018,2019,1. Saloon, 25K to 50K ,"-1,900.00 "
Policy Number 10276,Country 053,Claim Number 17238,FORD,EXPLORER,2018,2019,2. Four Wheel Drive, 75K to 100K ,"-3,300.00 "
Policy Number 10485,Country 053,Claim Number 19771,TOYOTA,COROLLA,2018,2019,1. Saloon, 25K to 50K , 350.00 
Policy Number 10522,Country 094,Claim Number 18254,FORD,EcoSport,2018,2019,2. Four Wheel Drive, 25K to 50K ,"-2,870.00 "
Policy Number 10530,Country 053,Claim Number 20118,TOYOTA,CAMRY,2018,2019,1. Saloon, 25K to 50K , 250.00 
Policy Number 10598,Country 053,Claim Number 18607,MITSUBISHI,PAJERO SPORT,2018,2019,2. Four Wheel Drive, 25K to 50K ,"-2,100.00 "
Policy Number 10600,Country 113,Claim Number 19772,NISSAN,PATHFINDER,2018,2019,2. Four Wheel Drive, 75K to 100K ," 3,237.00 "
Policy Number 10697,Country 142,Claim Number 18707,JEEP,GRAND CHEROKEE,2018,2019,2. Four Wheel Drive, 50K to 75K ,"-4,700.00 "
Policy Number 10868,Country 092,Claim Number 17383,FORD,EDGE,2018,2019,2. Four Wheel Drive, 50K to 75K ,"-12,000.00 "
Policy Number 10876,Country 091,Claim Number 17990,TOYOTA,RAV 4,2018,2019,2. Four Wheel Drive, 25K to 50K ,"-2,400.00 "
Policy Number 10976,Country 053,Claim Number 18129,TOYOTA,LAND CRUISER PRADO,2018,2019,2. Four Wheel Drive, 50K to 75K ,-300.00 
Policy Number 10977,Country 053,Claim Number 19180,DODGE,DURANGO,2018,2019,2. Four Wheel Drive, 75K to 100K ," 1,300.00 "
Policy Number 11039,Country 053,Claim Number 19176,RENAULT,DUSTER,2018,2019,2. Four Wheel Drive, 25K to 50K ,"-1,750.00 "
Policy Number 11078,Country 095,Claim Number 19751,MITSUBISHI,PAJERO,2018,2019,2. Four Wheel Drive, 50K to 75K , 700.00 
Policy Number 11192,Country 053,Claim Number 17899,MITSUBISHI,PAJERO,2018,2019,2. Four Wheel Drive, 25K to 50K , 850.00 
Policy Number 11217,Country 053,Claim Number 18804,JEEP,GRAND CHEROKEE,2018,2019,2. Four Wheel Drive, 75K to 100K ,"-3,600.00 "
Policy Number 11324,Country 053,Claim Number 17985,TOYOTA,LAND CRUISER,2018,2019,2. Four Wheel Drive, 100K to 150K ,"-4,800.00 "
Policy Number 11333,Country 091,Claim Number 18740,NISSAN,ALTIMA,2018,2019,1. Saloon, 25K to 50K ,"-1,600.00 "
Policy Number 11384,Country 053,Claim Number 18992,NISSAN,X TRAIL,2018,2019,2. Four Wheel Drive, 25K to 50K ," 11,260.00 "
Policy Number 11408,Country 053,Claim Number 17894,FORD,EDGE,2018,2019,2. Four Wheel Drive, 50K to 75K ,"-5,500.00 "
Policy Number 11452,Country 094,Claim Number 18084,MITSUBISHI,GALANT,2018,2019,1. Saloon, 0 to 25K ,-650.00 
Policy Number 11550,Country 138,Claim Number 19211,HONDA,ODYSSEY,2018,2019,2. Four Wheel Drive, 100K to 150K ,"-10,625.00 "
Policy Number 11566,Country 053,Claim Number 17665,NISSAN,SUNNY,2018,2019,1. Saloon, 25K to 50K ," 9,589.26 "
Policy Number 13796,Country 095,Claim Number 24101,RENAULT,DUSTER,2019,2019,2. Four Wheel Drive, 250K+ ," 6,770.00 "
Policy Number 5944,Country 053,Claim Number 11133,RENAULT,DUSTER,2019,2019,2. Four Wheel Drive, 25K to 50K , 350.00 
Policy Number 6062,Country 053,Claim Number 11220,TOYOTA,FORTUNER,2019,2019,2. Four Wheel Drive, 25K to 50K , 333.00 
Policy Number 12035,Country 053,Claim Number 19149,FORD,EXPLORER,2019,2019,2. Four Wheel Drive, 50K to 75K , 525.00 
Policy Number 12035,Country 053,Claim Number 19149,FORD,EXPLORER,2019,2019,2. Four Wheel Drive, 50K to 75K , 525.00 
Policy Number 12035,Country 053,Claim Number 19149,FORD,EXPLORER,2019,2019,2. Four Wheel Drive, 50K to 75K ,-525.00 
Policy Number 4153,Country 038,Claim Number 8209,FORD,EXPEDITION,2019,2019,2. Four Wheel Drive, 250K+ ," 2,900.00 "
Policy Number 5918,Country 053,Claim Number 11052,HYUNDAI,TUCSON,2019,2019,2. Four Wheel Drive, 0 to 25K ," 3,500.00 "
Policy Number 5961,Country 053,Claim Number 11120,MITSUBISHI,ASX,2019,2019,2. Four Wheel Drive, 25K to 50K ," 1,100.00 "
Policy Number 5992,Country 138,Claim Number 11036,NISSAN,PATHFINDER,2019,2019,2. Four Wheel Drive, 25K to 50K ," 5,600.00 "
Policy Number 6014,Country 097,Claim Number 11060,JEEP,GRAND CHEROKEE,2019,2019,2. Four Wheel Drive, 50K to 75K ," 4,400.00 "
Policy Number 6020,Country 053,Claim Number 11065,FORD,EXPLORER,2019,2019,2. Four Wheel Drive, 75K to 100K ," 4,700.00 "
Policy Number 6057,Country 053,Claim Number 11069,NISSAN,SUNNY,2019,2019,1. Saloon, 0 to 25K ," 1,900.00 "
Policy Number 6114,Not Available,Claim Number 11072,NISSAN,X TRAIL,2019,2019,2. Four Wheel Drive, 50K to 75K ," 2,800.00 "
Policy Number 6124,Country 068,Claim Number 11101,NISSAN,ALTIMA,2019,2019,1. Saloon, 25K to 50K ," 1,300.00 "
Policy Number 6158,Country 053,Claim Number 11056,MITSUBISHI,PAJERO,2019,2019,2. Four Wheel Drive, 75K to 100K ," 2,500.00 "
Policy Number 6194,Country 053,Claim Number 11129,HONDA,JAZZ,2019,2019,1. Saloon, 0 to 25K ," 2,100.00 "
Policy Number 6214,Country 091,Claim Number 11088,TOYOTA,COROLLA,2019,2019,1. Saloon, 50K to 75K , 900.00 
Policy Number 6322,Country 053,Claim Number 11100,NISSAN,ALTIMA,2019,2019,1. Saloon, 0 to 25K , 700.00 
Policy Number 11904,Country 094,Claim Number 19219,MITSUBISHI,ASX,2019,2019,2. Four Wheel Drive, 25K to 50K ," 3,500.00 "
Policy Number 12023,Country 053,Claim Number 19367,MITSUBISHI,PAJERO,2019,2019,2. Four Wheel Drive, 0 to 25K ," 1,800.00 "
Policy Number 12085,Country 038,Claim Number 19177,MITSUBISHI,PAJERO,2019,2019,2. Four Wheel Drive, 75K to 100K ," 6,400.00 "
Policy Number 12220,Country 053,Claim Number 19187,FORD,EcoSport,2019,2019,2. Four Wheel Drive, 25K to 50K ," 2,900.00 "
Policy Number 12244,Country 053,Claim Number 18867,HYUNDAI,TUCSON,2019,2019,2. Four Wheel Drive, 25K to 50K , 700.00 
Policy Number 12430,Country 053,Claim Number 18980,TOYOTA,COROLLA,2019,2019,1. Saloon, 25K to 50K ," 5,200.00 "
Policy Number 12430,Country 053,Claim Number 18980,TOYOTA,COROLLA,2019,2019,1. Saloon, 25K to 50K ,-350.00 
Policy Number 12454,Country 083,Claim Number 19453,MAZDA,3,2019,2019,1. Saloon, 25K to 50K ," 1,500.00 "
Policy Number 12573,Country 012,Claim Number 19375,FORD,EDGE,2019,2019,2. Four Wheel Drive, 100K to 150K ," 4,700.00 "
Policy Number 12575,Country 094,Claim Number 18906,MAZDA,3,2019,2019,1. Saloon, 25K to 50K ," 2,200.00 "
Policy Number 3790,Country 053,Claim Number 5722,NISSAN,NAVARA,2019,2019,3A. Light Pick-Ups and Vans upto 3 Tons, 50K to 75K ," 2,600.00 "
Policy Number 13796,Country 053,Claim Number 24132,NISSAN,SUNNY,2019,2019,1. Saloon, 250K+ ," 1,300.00 "
Policy Number 6132,Country 053,Claim Number 11045,MITSUBISHI,LANCER,2019,2019,1. Saloon, 50K to 75K ," 3,100.00 "
Policy Number 11857,Country 053,Claim Number 18454,MAZDA,CX-9,2019,2019,2. Four Wheel Drive, 150K to 200K ," 46,000.00 "
Policy Number 12007,Country 091,Claim Number 18743,BMW,440I GRAN COUPE,2019,2019,1. Saloon, 150K to 200K ," 11,600.00 "
Policy Number 12170,Country 095,Claim Number 18960,MITSUBISHI,MIRAGE,2019,2019,1. Saloon, 0 to 25K ," 1,300.00 "
Policy Number 12182,Country 115,Claim Number 18858,JEEP,GRAND CHEROKEE,2019,2019,2. Four Wheel Drive, 100K to 150K ," 16,000.00 "
Policy Number 12404,Country 053,Claim Number 19199,BMW,318 i,2019,2019,1. Saloon, 50K to 75K ," 20,800.00 "
Policy Number 12604,Country 053,Claim Number 18842,MITSUBISHI,PAJERO,2019,2019,2. Four Wheel Drive, 25K to 50K , 400.00 
Policy Number 13796,Country 053,Claim Number 24086,TOYOTA,COROLLA,2019,2019,1. Saloon, 250K+ , 375.00 
Policy Number 13796,Country 091,Claim Number 24088,NISSAN,SUNNY,2019,2019,1. Saloon, 250K+ ," 1,700.00 "
Policy Number 13796,Country 138,Claim Number 24089,NISSAN,SUNNY,2019,2019,1. Saloon, 250K+ ," 4,800.00 "
Policy Number 13796,Country 129,Claim Number 24090,MAZDA,CX9,2019,2019,2. Four Wheel Drive, 250K+ , 650.00 
Policy Number 13796,Country 053,Claim Number 24091,NISSAN,TIIDA,2019,2019,1. Saloon, 250K+ , 600.00 
Policy Number 13796,Country 053,Claim Number 24092,MAZDA,6,2019,2019,1. Saloon, 250K+ , 600.00 
Policy Number 13796,Country 022,Claim Number 24102,NISSAN,SUNNY,2019,2019,1. Saloon, 250K+ , 850.00 
Policy Number 13796,Country 138,Claim Number 24103,MITSUBISHI,LANCER,2019,2019,1. Saloon, 250K+ , 950.00 
Policy Number 6628,Country 053,Claim Number 11269,HONDA,CRV,2019,2019,2. Four Wheel Drive, 50K to 75K ," 16,100.00 "
Policy Number 11728,Country 088,Claim Number 19296,HONDA,CRV,2019,2019,2. Four Wheel Drive, 50K to 75K ," 3,500.00 "
Policy Number 12241,Country 053,Claim Number 18959,NISSAN,SUNNY,2019,2019,1. Saloon, 25K to 50K ," 1,050.00 "
Policy Number 12494,Country 053,Claim Number 19579,MITSUBISHI,PAJERO,2019,2019,2. Four Wheel Drive, 25K to 50K , 330.00 
Policy Number 4149,Country 091,Claim Number 8232,KIA,CERATO,2019,2019,1. Saloon, 250K+ ,"-7,200.00 "
Policy Number 4150,Country 038,Claim Number 8275,NISSAN,ALTIMA,2019,2019,1. Saloon, 250K+ ," 6,000.00 "
Policy Number 4151,Country 091,Claim Number 8277,TOYOTA,HILUX,2019,2019,3A. Light Pick-Ups and Vans upto 3 Tons, 250K+ ," 4,600.00 "
Policy Number 4151,Country 012,Claim Number 8281,TOYOTA,FORTUNER,2019,2019,2. Four Wheel Drive, 250K+ ," 4,300.00 "
Policy Number 4158,Country 091,Claim Number 8170,TOYOTA,YARIS,2019,2019,1. Saloon, 250K+ ," 2,000.00 "
Policy Number 6238,Country 094,Claim Number 11164,RENAULT,DUSTER,2019,2019,2. Four Wheel Drive, 0 to 25K ," 2,900.00 "
Policy Number 6293,Country 095,Claim Number 11173,NISSAN,SUNNY,2019,2019,1. Saloon, 0 to 25K ," 3,100.00 "
Policy Number 6305,Country 053,Claim Number 11109,NISSAN,X TRAIL,2019,2019,2. Four Wheel Drive, 50K to 75K ," 1,700.00 "
Policy Number 6390,Country 053,Claim Number 11203,HONDA,ACCORD,2019,2019,1. Saloon, 75K to 100K ," 8,500.00 "
Policy Number 6488,Country 122,Claim Number 11194,FORD,EDGE,2019,2019,2. Four Wheel Drive, 50K to 75K ," 58,232.00 "
Policy Number 11579,Country 053,Claim Number 19062,TOYOTA,YARIS HATCHBACK,2019,2019,1. Saloon, 0 to 25K ," 1,000.00 "
Policy Number 11734,Country 053,Claim Number 19819,FORD,ESCAPE,2019,2019,2. Four Wheel Drive, 25K to 50K ," 1,100.00 "
Policy Number 11964,Country 053,Claim Number 18907,HONDA,PILOT,2019,2019,2. Four Wheel Drive, 25K to 50K ," 2,200.00 "
Policy Number 12192,Country 053,Claim Number 19385,HYUNDAI,ELANTRA,2019,2019,1. Saloon, 25K to 50K ," 1,600.00 "
Policy Number 12444,Country 053,Claim Number 19222,NISSAN,ALTIMA,2019,2019,1. Saloon, 0 to 25K , 800.00 
Policy Number 12599,Country 094,Claim Number 19148,MITSUBISHI,PAJERO,2019,2019,2. Four Wheel Drive, 50K to 75K , 600.00 
Policy Number 14528,Country 136,Claim Number 25579,MITSUBISHI,LANCER,2019,2019,1. Saloon, 25K to 50K ," 4,400.00 "
Policy Number 4149,Country 136,Claim Number 8283,KIA,CADENZA,2019,2019,1. Saloon, 250K+ ," 3,940.00 "
Policy Number 4151,Country 090,Claim Number 8264,TOYOTA,PRIUS,2019,2019,1. Saloon, 250K+ ," 6,300.00 "
Policy Number 4151,Country 053,Claim Number 8282,TOYOTA,COROLLA,2019,2019,1. Saloon, 250K+ ," 1,700.00 "
Policy Number 11599,Country 091,Claim Number 17369,RENAULT,KOLEOS,2019,2019,2. Four Wheel Drive, 75K to 100K ," 6,770.00 "
Policy Number 11882,Country 094,Claim Number 18954,MITSUBISHI,ASX,2019,2019,2. Four Wheel Drive, 25K to 50K ," 4,800.00 "
Policy Number 11882,Country 094,Claim Number 18954,MITSUBISHI,ASX,2019,2019,2. Four Wheel Drive, 25K to 50K ,-350.00 
Policy Number 11944,Country 053,Claim Number 19646,CHEVROLET,TRAIL BLAZER,2019,2019,2. Four Wheel Drive, 100K to 150K ," 71,224.00 "
Policy Number 11944,Country 053,Claim Number 19646,CHEVROLET,TRAIL BLAZER,2019,2019,2. Four Wheel Drive, 100K to 150K ," 22,823.00 "
Policy Number 11944,Country 053,Claim Number 19646,CHEVROLET,TRAIL BLAZER,2019,2019,2. Four Wheel Drive, 100K to 150K ,-350.00 
Policy Number 11985,Country 053,Claim Number 19377,TOYOTA,FJ CRUISER,2019,2019,2. Four Wheel Drive, 75K to 100K ," 14,300.00 "
Policy Number 11985,Country 053,Claim Number 19377,TOYOTA,FJ CRUISER,2019,2019,2. Four Wheel Drive, 75K to 100K ," 14,300.00 "
Policy Number 11985,Country 053,Claim Number 19377,TOYOTA,FJ CRUISER,2019,2019,2. Four Wheel Drive, 75K to 100K ,"-1,430.00 "
Policy Number 11985,Country 053,Claim Number 19377,TOYOTA,FJ CRUISER,2019,2019,2. Four Wheel Drive, 75K to 100K ,-350.00 
Policy Number 11985,Country 053,Claim Number 19377,TOYOTA,FJ CRUISER,2019,2019,2. Four Wheel Drive, 75K to 100K ,-350.00 
Policy Number 11985,Country 053,Claim Number 19377,TOYOTA,FJ CRUISER,2019,2019,2. Four Wheel Drive, 75K to 100K ,"-14,300.00 "
Policy Number 11985,Country 053,Claim Number 19377,TOYOTA,FJ CRUISER,2019,2019,2. Four Wheel Drive, 75K to 100K , 350.00 
Policy Number 11993,Country 053,Claim Number 18958,HONDA,CRV,2019,2019,2. Four Wheel Drive, 50K to 75K ," 2,800.00 "
Policy Number 11993,Country 053,Claim Number 18958,HONDA,CRV,2019,2019,2. Four Wheel Drive, 50K to 75K ,-350.00 
Policy Number 12406,Country 116,Claim Number 19084,HYUNDAI,TUCSON,2019,2019,2. Four Wheel Drive, 75K to 100K ," 3,200.00 "
Policy Number 12614,Country 053,Claim Number 19403,NISSAN,QASHQAI,2019,2019,2. Four Wheel Drive, 25K to 50K , 900.00 
Policy Number 12614,Country 053,Claim Number 19403,NISSAN,QASHQAI,2019,2019,2. Four Wheel Drive, 25K to 50K ,-350.00 
Policy Number 12684,Country 053,Claim Number 19572,JAGUAR,XF,2019,2019,1. Saloon, 25K to 50K ," 27,390.00 "
Policy Number 12684,Country 053,Claim Number 19572,JAGUAR,XF,2019,2019,1. Saloon, 25K to 50K ,-350.00 
Policy Number 4017,Country 091,Claim Number 6243,DAEWOO,BF106,2019,2019,4. Buses, 0 to 25K ," 1,400.00 "
Policy Number 4149,Country 091,Claim Number 8274,MAZDA,6,2019,2019,1. Saloon, 250K+ ," 3,000.00 "
Policy Number 13790,Country 091,Claim Number 24085,TOYOTA,HILUX,2019,2019,3A. Light Pick-Ups and Vans upto 3 Tons, 250K+ ," 1,600.00 "
Policy Number 13790,Country 091,Claim Number 24085,TOYOTA,HILUX,2019,2019,3A. Light Pick-Ups and Vans upto 3 Tons, 250K+ ,-500.00 
Policy Number 13791,Country 053,Claim Number 24077,TATA,LPO 1618,2019,2019,4. Buses, 250K+ ," 1,800.00 "
Policy Number 13791,Country 053,Claim Number 24077,TATA,LPO 1618,2019,2019,4. Buses, 250K+ ,-500.00 
Policy Number 5714,Country 136,Claim Number 10760,LAND ROVER,RANGE ROVER,2019,2019,2. Four Wheel Drive, 250K+ ," 10,100.00 "
Policy Number 6023,Country 053,Claim Number 11049,MITSUBISHI,PAJERO,2019,2019,2. Four Wheel Drive, 0 to 25K ," 3,200.00 "
Policy Number 6023,Country 053,Claim Number 11049,MITSUBISHI,PAJERO,2019,2019,2. Four Wheel Drive, 0 to 25K ,-350.00 
Policy Number 6064,Country 122,Claim Number 11119,RENAULT,KOLEOS,2019,2019,2. Four Wheel Drive, 50K to 75K , 800.00 
Policy Number 6075,Country 053,Claim Number 11146,FORD,FOCUS,2019,2019,1. Saloon, 50K to 75K ," 9,800.00 "
Policy Number 6075,Country 053,Claim Number 11146,FORD,FOCUS,2019,2019,1. Saloon, 50K to 75K ,-350.00 
Policy Number 6101,Country 094,Claim Number 11086,TOYOTA,CAMRY,2019,2019,1. Saloon, 25K to 50K ," 2,600.00 "
Policy Number 6117,Country 053,Claim Number 11153,NISSAN,TIIDA,2019,2019,1. Saloon, 0 to 25K ," 1,600.00 "
